Breviolum882331_c0_g1_i1	Breviolum882331	OG0001063
Breviolum197854_c0_g1_i1	Breviolum197854	OG0000766
Breviolum762521_c0_g1_i1	Breviolum762521	OG0001037
Breviolum41752_c0_g1_i1	Breviolum41752	OG0009644
Breviolum603786_c0_g1_i1	Breviolum603786	OG0000718
Breviolum458876_c0_g1_i1	Breviolum458876	OG0008079
Breviolum3980_c0_g2_i1	Breviolum3980	OG0002061
Breviolum87456_c0_g2_i1	Breviolum87456	OG0000796
Breviolum100782_c0_g2_i1	Breviolum100782	OG0001784
Breviolum215845_c0_g1_i2	Breviolum215845	OG0009836
Breviolum459466_c0_g1_i1	Breviolum459466	OG0006418
Breviolum329908_c0_g3_i1	Breviolum329908	OG0000029
Breviolum402358_c0_g3_i1	Breviolum402358	OG0000016
Breviolum38340_c0_g2_i1	Breviolum38340	OG0003518
Breviolum484614_c0_g1_i1	Breviolum484614	OG0001286
Breviolum416279_c1_g1_i1	Breviolum416279	OG0009600
Breviolum8593_c0_g2_i1	Breviolum8593	OG0002237
Breviolum109596_c0_g2_i1	Breviolum109596	OG0001789
Breviolum83180_c0_g1_i1	Breviolum83180	OG0001780
Breviolum686736_c0_g1_i1	Breviolum686736	OG0009159
Breviolum615456_c0_g1_i1	Breviolum615456	OG0007880
Breviolum188046_c0_g2_i1	Breviolum188046	OG0007347
Breviolum97762_c0_g1_i2	Breviolum97762	OG0002123
Breviolum771993_c0_g1_i1	Breviolum771993	OG0001643
Breviolum736021_c0_g1_i1	Breviolum736021	OG0001305
Breviolum155912_c0_g1_i1	Breviolum155912	OG0003142
Breviolum260995_c1_g1_i1	Breviolum260995	OG0002454
Breviolum161157_c0_g2_i1	Breviolum161157	OG0008818
Breviolum267891_c0_g3_i2	Breviolum267891	OG0004220
Breviolum458177_c0_g1_i1	Breviolum458177	OG0003904
Breviolum772789_c0_g1_i1	Breviolum772789	OG0000518
Breviolum183578_c0_g3_i1	Breviolum183578	OG0004020
Breviolum364502_c1_g1_i4	Breviolum364502	OG0001151
Breviolum407325_c0_g9_i2	Breviolum407325	OG0006422
Breviolum166363_c0_g2_i1	Breviolum166363	OG0001122
Breviolum861681_c0_g1_i1	Breviolum861681	OG0000496
Breviolum457123_c0_g1_i1	Breviolum457123	OG0001527
Breviolum141067_c0_g1_i1	Breviolum141067	OG0000661
Breviolum56605_c0_g1_i1	Breviolum56605	OG0005024
Breviolum896673_c0_g1_i1	Breviolum896673	OG0002088
Breviolum796190_c0_g1_i1	Breviolum796190	OG0000066
Breviolum531255_c0_g1_i1	Breviolum531255	OG0002645
Breviolum627648_c0_g1_i1	Breviolum627648	OG0000082
Breviolum848986_c0_g1_i1	Breviolum848986	OG0001492
Breviolum98702_c0_g1_i1	Breviolum98702	OG0001400
Breviolum382065_c0_g1_i1	Breviolum382065	OG0003002
Breviolum686769_c0_g1_i1	Breviolum686769	OG0003426
Breviolum847825_c0_g1_i1	Breviolum847825	OG0002706
Breviolum38913_c0_g1_i1	Breviolum38913	OG0007782
Breviolum27539_c0_g1_i1	Breviolum27539	OG0000033
Breviolum207911_c0_g1_i1	Breviolum207911	OG0006904
Breviolum869379_c0_g1_i1	Breviolum869379	OG0001587
Breviolum298868_c0_g1_i2	Breviolum298868	OG0000503
Breviolum125546_c0_g3_i1	Breviolum125546	OG0003175
Breviolum623418_c0_g1_i1	Breviolum623418	OG0005805
